"ip","hostname","city","region","country","name"
"175.141.183.218","null","Putra Heights","Selangor","MY","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"175.141.18.163","null","Miri","Sarawak","MY","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"175.139.101.224","null","Putra Heights","Selangor","MY","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"173.245.217.70","173-245-217-70.ipvanish.com","Tokyo","Tokyo","JP","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"173.213.86.53","giverately.com","Las Vegas","Nevada","US","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"171.227.212.53","null","Ho Chi Minh City","Ho Chi Minh","VN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"171.99.161.179","wf-171-99-161-179.revip9.asianet.co.th","Bangkok","Bangkok","TH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"171.6.242.55","mx-ll-171.6.242-55.dynamic.3bb.in.th","Ban Talat Nua","Phuket","TH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"157.37.164.217","null","Jaipur","Rajasthan","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"155.94.199.8","155.94.199.8.static.quadranet.com","Los Angeles","California","US","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"154.239.117.63","null","Alexandria","Alexandria","EG","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"154.119.43.159","null","Stellenbosch","Western Cape","ZA","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"152.32.104.104","null","Pasig City","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"151.210.157.31","null","Hamilton","Waikato","NZ","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"146.196.44.234","234-44.196.146.static.gtplkcbpl.in","Kolkata","West Bengal","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"139.194.126.192","fm-dyn-139-194-126-192.fast.net.id","Batam","Riau","ID","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"137.59.155.234","null","Dhaka","Dhaka","BD","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"136.158.33.171","171.33.158.136.convergeict.com","San Jose del Monte","Central Luzon","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"136.158.31.108","108.31.158.136.convergeict.com","Quezon City","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"136.158.30.229","229.30.158.136.convergeict.com","Quezon City","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"136.158.7.29","29.7.158.136.convergeict.com","Quezon City","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"130.105.53.234","null","Makati City","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"129.205.195.206","null","Gaborone","Gaborone","BW","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"129.122.197.153","tlt-cust-129-122-197-153.zapfibra.co.ao","Luanda","Luanda","AO","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"128.201.50.35","null","Itaquaquecetuba","São Paulo","BR","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"124.106.181.119","null","Dasmariñas","Calabarzon","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"124.106.136.112","null","Dasmariñas","Calabarzon","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"122.3.88.197","122.3.88.197.pldt.net","Manila","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"122.2.106.25","122.2.106.25.pldt.net","Manila","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"120.29.86.197","null","Angeles City","Central Luzon","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"119.94.153.148","119.94.153.148.static.pldt.net","Manila","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"119.94.11.79","119.94.11.79.static.pldt.net","Manila","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"119.94.7.175","119.94.7.175.static.pldt.net","Manila","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"119.93.234.231","null","Cagayan de Oro","Northern Mindanao","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"118.179.98.17","null","Bogra","Rajshahi Division","BD","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"116.193.128.115","node-116-193-128-115.alliancebroadband.in","Kolkata","West Bengal","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"112.211.51.72","112.211.51.72.pldt.net","Las Piñas","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"112.206.15.225","112.206.15.225.pldt.net","Muntinlupa","Calabarzon","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"112.200.200.251","112.200.200.251.pldt.net","Quezon City","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"110.54.148.124","null","Quezon City","Metro Manila","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.251.82.198","null","Kolkata","West Bengal","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.242.196.104","null","Kolkata","West Bengal","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.221.54.162","null","Rangpur","Rangpur Division","BD","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.215.226.148","null","Kolkata","West Bengal","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.199.175.11","null","Mumbai","Maharashtra","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.141.132.12","null","Dhaka","Dhaka","BD","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.141.91.235","null","Delhi","Delhi","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.137.14.212","null","Melbourne","Victoria","AU","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.130.112.186","null","Dhaka","Dhaka","BD","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.121.62.89","null","Rājshāhi","Rajshahi Division","BD","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.121.36.188","null","Dhaka","Dhaka","BD","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.117.216.141","null","Pimpri","Maharashtra","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.25.241.95","null","Bago","Bago","MM","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"103.3.221.23","null","Depok","West Java","ID","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"102.114.24.141","null","Port Louis","Port Louis","MU","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"99.237.176.198","cpea84e3fd15943-cma84e3fd15940.cpe.net.cable.rogers.com","Toronto","Ontario","CA","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"99.199.14.89","d99-199-14-89.bchsia.telus.net","Vancouver","British Columbia","CA","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"95.111.230.250","ip-95-111-230-250.static.contabo.net","Stuhr","Lower Saxony","DE","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"94.204.142.17","null","Dubai","Dubai","AE","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"94.65.85.167","odl29u.static.otenet.gr","Athens","Attica","GR","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"89.187.163.218","unn-89-187-163-218.cdn77.com","Singapore","Singapore","SG","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"69.60.234.63","cbl-69-60-234-63.vianet.ca","Timmins","Ontario","CA","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"66.75.230.114","cpe-66-75-230-114.san.res.rr.com","San Diego","California","US","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"60.53.131.220","null","Shah Alam","Selangor","MY","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"49.147.194.65","dsl.49.148.194.65.pldt.net","Cebu City","Central Visayas","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"49.145.165.137","dsl.49.145.165.137.pldt.net","Cebu City","Central Visayas","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"49.145.105.47","dsl.49.145.105.47.pldt.net","Iloilo","Western Visayas","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"49.144.141.186","dsl.49.144.141.186.pldt.net","Dasmariñas","Calabarzon","PH","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"45.250.51.107","null","Kolkata","West Bengal","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"45.248.27.118","null","Noida","Uttar Pradesh","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"45.224.108.130","null","Portel","Pará","BR","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"45.41.132.206","null","Washington","Washington, D.C.","US","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"43.250.158.252","null","Ahmedabad","Gujarat","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"43.245.87.199","null","Kathmandu","Bagmati Province","NP","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"42.189.209.29","null","Bukit Mertajam","Penang","MY","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"42.118.51.95","null","Hanoi","Hanoi","VN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"38.134.240.14","null","Hillsboro","Oregon","US","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"37.210.122.226","null","Doha","Baladīyat ad Dawḩah","QA","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"27.106.30.152","null","Mumbai","Maharashtra","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"27.34.109.33","null","Kathmandu","Bagmati Province","NP","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"27.34.20.238","null","Kathmandu","Bagmati Province","NP","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"27.34.17.33","null","Kathmandu","Bagmati Province","NP","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"24.66.22.183","s01065c7695cf578e.rd.shawcable.net","Red Deer","Alberta","CA","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"2.51.203.151","null","Dubai","Dubai","AE","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
"1.22.182.84","null","Nagpur","Maharashtra","IN","Godzilla.vs.Kong.2021.1080p.WEBRip.x264-RARBG"
