"movie_odid","display_name","production_country"
"1180100","Liar Liar","United States"
"1190100","Jurassic Park III","United States"
"1210100","The Polar Express","United States"
"1220100","Planet of the Apes","United States"
"1230100","Madagascar: Escape 2 Africa","United States"
"1240100","Indiana Jones and the Temple of Doom","United States"
"1250100","X-Men Origins: Wolverine","United States"
"1260100","Pretty Woman","United States"
"1270100","Hitch","United States"
"1290100","Night at the Museum: Battle of the Smithsonian","United States"
"1300100","Top Gun","United States"
"1310100","There's Something About Mary","United States"
"1320100","Ice Age","United States"
"1330100","The Bourne Supremacy","United States"
"1350100","Home Alone 2: Lost in New York","United States"
"1360100","Elf","United States"
"1370100","National Treasure","United States"
"1410100","The Matrix","United States"
"1410100","The Matrix","Australia"
"1420100","Beauty and the Beast","United States"
"1430100","Tarzan","United States"
"1440100","A Beautiful Mind","United States"
"1450100","Chicago","United States"
"1460100","Quantum of Solace","United Kingdom"
"1460100","Quantum of Solace","United States"
"1470100","Wild Hogs","United States"
"1490100","Casino Royale","United Kingdom"
"1490100","Casino Royale","United States"
"1500100","Meet the Parents","United States"
"1510100","Close Encounters of the Third Kind","United States"
"1530100","Hannibal","United States"
"1540100","Catch Me if You Can","United States"
"1550100","Big Daddy","United States"
"1560100","The Sound of Music","United States"
"1570100","Batman Returns","United States"
"1580100","A Bug's Life","United States"
"1590100","The Pursuit of Happyness","United States"
"1600100","The Proposal","United States"
"1610100","The Waterboy","United States"
"1620100","Die Another Day","United Kingdom"
"1620100","Die Another Day","United States"
"1630100","Shark Tale","United States"
"1660100","The Longest Yard","United States"
"1670100","X-Men","United States"
"1680100","Scary Movie","United States"
"1700100","What Lies Beneath","United States"
"1710100","The Mummy","United States"
"1720100","Fast & Furious","United States"
"1730100","Over the Hedge","United States"
"1740100","Fantastic Four","United States"
"1750100","Horton Hears a Who","United States"
"1770100","Jerry Maguire","United States"
"1790100","Scooby-Doo","United States"
"1800100","101 Dalmatians","United States"
"1810100","Sex and the City","United States"
"1820100","Runaway Bride","United States"
"1840100","Terminator 3: Rise of the Machines","United States"
"1850100","Knocked Up","United States"
"1860100","As Good as it Gets","United States"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","United States"
"1880100","Gremlins","United States"
"1890100","Gran Torino","United States"
"1910100","G.I. Joe: The Rise of Cobra","United States"
"1920100","Paul Blart: Mall Cop","United States"
"1940100","Lilo & Stitch","United States"
"1960100","Taken","France"
"1970100","The Santa Clause","United States"
"1980100","I, Robot","United States"
"2000100","The Fast and the Furious","United States"
"2010100","Doctor Dolittle","United States"
"2020100","Mamma Mia!","United States"
"2030100","Juno","United States"
"2040100","Marley & Me","United States"
"2050100","xXx","United States"
"2070100","The Chronicles of Narnia: Prince Caspian","United States"
"2110100","Slumdog Millionaire","United States"
"2120100","Rush Hour","United States"
"2130100","The Blair Witch Project","United States"
"2140100","Deep Impact","United States"
"2150100","Rush Hour 3","United States"
"2170100","Stuart Little","United States"
"2180100","The Rocky Horror Picture Show","United Kingdom"
"2180100","The Rocky Horror Picture Show","United States"
"2200100","Saturday Night Fever","United States"
"2210100","The Matrix Revolutions","United States"
"2220100","The Santa Clause 2","United States"
"2230100","Cheaper by the Dozen","United States"
"2240100","Bad Boys II","United States"
"2250100","Good Will Hunting","United States"
"2260100","Platoon","United States"
"2270100","Dinosaur","United States"
"2280100","Click","United States"
"2290100","The Green Mile","United States"
"2300100","Ransom","United States"
"2310100","Godzilla","United States"
"2320100","101 Dalmatians","United States"
"2330100","Anger Management","United States"
"2340100","Chicken Little","United States"
"2350100","Teenage Mutant Ninja Turtles","United States"
"2360100","Patch Adams","United States"
"2370100","The Godfather","United States"
"2380100","The Incredible Hulk","United States"
"2390100","Live Free or Die Hard","United States"
"2400100","Wanted","United States"
"2410100","Superman","United Kingdom"
"2410100","Superman","Switzerland"
"2410100","Superman","Panama"
"2410100","Superman","United States"
"2430100","Mission: Impossible III","United States"
"2440100","Angels & Demons","United States"
"2450100","The Departed","United States"
"2460100","Troy","United Kingdom"
"2460100","Troy","Malta"
"2460100","Troy","United States"
"2470100","Bringing Down the House","United States"
"2480100","Hulk","United States"
"2490100","Minority Report","United States"
"2500100","Fantastic Four: Rise of the Silver Surfer","United States"
"2510100","Lara Croft: Tomb Raider","United States"
"2510100","Lara Croft: Tomb Raider","United Kingdom"
"2520100","The Silence of the Lambs","United States"
"2530100","Honey, I Shrunk the Kids","United States"
"2550100","Lethal Weapon 4","United States"
"2560100","Get Smart","United States"
"2600100","The Ring","United States"
"2620100","Borat","United States"
"2630100","Robots","United States"
"2650100","Crouching Tiger, Hidden Dragon","Taiwan, Province of China"
"2650100","Crouching Tiger, Hidden Dragon","Hong Kong"
"2650100","Crouching Tiger, Hidden Dragon","China"
"2650100","Crouching Tiger, Hidden Dragon","United States"
"2660100","Rocky IV","United States"
"2670100","Enchanted","United States"
"2680100","The Curious Case of Benjamin Button","United States"
"2690100","Sweet Home Alabama","United States"
"2700100","Dumb & Dumber","United States"
"2720100","The World is Not Enough","United Kingdom"
"2720100","The World is Not Enough","United States"
"2730100","My Best Friend's Wedding","United States"
"2750100","Sleepless in Seattle","United States"
"2760100","Bee Movie","United States"
"2770100","Mr. Deeds","United States"
"2790100","The Truman Show","United States"
"2800100","Erin Brockovich","United States"
"2810100","Ocean's Twelve","United States"
"2820100","Terminator Salvation","United States"
"2830100","Charlie's Angels","United States"
"2840100","Tomorrow Never Dies","United Kingdom"
"2840100","Tomorrow Never Dies","United States"
"2850100","Rocky III","United States"
"2860100","The Devil Wears Prada","United States"
"2870100","Something's Gotta Give","United States"
"2880100","Traffic","United States"
"2900100","City Slickers","United States"
"2920100","Nutty Professor II: The Klumps","United States"
"2940100","The Bodyguard","United States"
"2950100","Wayne's World","United States"
"2960100","The Bourne Identity","United States"
"2970100","Superbad","United States"
"2980100","Speed","United States"
"2990100","50 First Dates","United States"
"3000100","The Hunt for Red October","United States"
"3010100","Mulan","United States"
"3020100","Seabiscuit","United States"
"3030100","Van Helsing","United States"
"3040100","Four Christmases","United States"
"3050100","The Mask","United States"
"3060100","I Now Pronounce You Chuck and Larry","United States"
"3080100","Walk the Line","United States"
"3100100","Total Recall","United States"
"3120100","Fahrenheit 9/11","United States"
"3130100","Hairspray","United States"
"3140100","The Break-Up","United States"
"3150100","Lemony Snicket's A Series of Unfortunate Events","United States"
"3160100","Blades of Glory","United States"
"3170100","The Sum of All Fears","United States"
"3180100","Back to the Future Part II","United States"
"3200100","Big Momma's House","United States"
"3210100","Die Hard 2","United States"
"3220100","Rocky","United States"
"3230100","G-Force","United States"
"3240100","Ocean's Thirteen","United States"
"3250100","S.W.A.T.","United States"
"3260100","Double Jeopardy","United States"
"3260100","Double Jeopardy","Canada"
"3260100","Double Jeopardy","Germany"
"3270100","8 Mile","United States"
"3280100","Notting Hill","United Kingdom"
"3300100","You’ve Got Mail","United States"
"3310100","Ghost Rider","United States"
"3320100","Remember the Titans","United States"
"3340100","American Graffiti","United States"
"3360100","Dodgeball: A True Underdog Story","United States"
"3370100","The Village","United States"
"3380100","Bolt","United States"
"3390100","Wild Wild West","United States"
"3410100","The Patriot","United States"
"3420100","The Pacifier","United States"
"3420100","The Pacifier","Canada"
"3430100","Dr. Dolittle 2","United States"
"3440100","Spy Kids","United States"
"3460100","District 9","New Zealand"
"3460100","District 9","United States"
"3460100","District 9","South Africa"
"3470100","Face/Off","United States"
"3490100","Spy Kids 3-D: Game Over","United States"
"3500100","Inglourious Basterds","United States"
"3500100","Inglourious Basterds","Germany"
"3510100","Doctor Zhivago","United Kingdom"
"3510100","Doctor Zhivago","Italy"
"3520100","Enemy of the State","United States"
"3530100","The Little Mermaid","United States"
"3540100","The Last Samurai","United States"
"3550100","Fun With Dick And Jane","United States"
"3560100","Tropic Thunder","United States"
"3570100","The Grudge","United States"
"3580100","Freaky Friday","United States"
"3590100","Bedtime Stories","United States"
"3600100","Scary Movie 3","United States"
"3630100","The 40 Year-old Virgin","United States"
"3650100","One Flew Over the Cuckoo's Nest","United States"
"3670100","Black Hawk Down","United States"
"3700100","The Princess Diaries","United States"
"3720100","Pulp Fiction","United States"
"3740100","Watchmen","United States"
"3760100","Analyze This","United States"
"3770100","Miss Congeniality","United States"
"3780100","Chicken Run","United States"
"3810100","Goldeneye","United States"
"3840100","The Italian Job","United States"
"3850100","How to Lose a Guy in 10 Days","United States"
"3860100","The First Wives Club","United States"
"3880100","George Of The Jungle","United States"
"3890100","Phenomenon","United States"
"3900100","The Graduate","United States"
"3910100","American Wedding","United States"
"3910100","American Wedding","Germany"
"3930100","Daddy Day Care","United States"
"3940100","Road to Perdition","United States"
"3960100","Dreamgirls","United States"
"3970100","Nine to Five","United States"
"3980100","Scream","United States"
"4010100","The General's Daughter","United States"
"4020100","The Aviator","United States"
"4030100","Daredevil","United States"
"4040100","The Mummy: Tomb of the Dragon Emperor","United States"
"4040100","The Mummy: Tomb of the Dragon Emperor","Germany"
"4040100","The Mummy: Tomb of the Dragon Emperor","Canada"
"4050100","Butch Cassidy and the Sundance Kid","United States"
"4060100","Mary Poppins","United States"
"4080100","American Pie","United States"
"4090100","Journey to the Center of the Earth","United States"
"4100100","Gone in 60 Seconds","United States"
"4130100","Eagle Eye","United States"
"4140100","The Prince of Egypt","United States"
"4150100","Scream 2","United States"
"4190100","Con Air","United States"
"4200100","Sleepy Hollow","United States"
"4210100","The Cat in the Hat","United States"
"4220100","Contact","United States"
"4230100","Charlie's Angels: Full Throttle","United States"
"4250100","Vanilla Sky","United States"
"4260100","The Rugrats Movie","United States"
"4270100","Million Dollar Baby","United States"
"4290100","Step Brothers","United States"
"4300100","Jumanji","United States"
"4320100","Shakespeare in Love","United States"
"4330100","Evan Almighty","United States"
"4340100","Collateral","United States"
"4350100","The Hunchback of Notre Dame","United States"
"4360100","Se7en","United States"
"4380100","You Don't Mess With the Zohan","United States"
"4400100","Hercules","United States"
"4430100","Meet the Robinsons","United States"
"4440100","Yes Man","United States"
"4450100","Inspector Gadget","United States"
"4460100","Public Enemies","United States"
"4470100","The Others","Spain"
"4470100","The Others","United States"
"4470100","The Others","France"
"4470100","The Others","Italy"
"4480100","Legally Blonde","United States"
"4490100","Schindler’s List","United States"
"4500100","Dead Poets Society","United States"
"4510100","Norbit","United States"
"4520100","Cold Mountain","United States"
"4530100","Michael","United States"
"4540100","Panic Room","United States"
"4550100","The Princess Diaries 2: Royal Engagement","United States"
"4560100","Unbreakable","United States"
"4580100","Beverly Hills Chihuahua","United States"
"4590100","He's Just Not That Into You","United States"
"4600100","Maid in Manhattan","United States"
"4610100","Master and Commander: The Far Side of the World","United States"
"4620100","The Mask of Zorro","United States"
"4620100","The Mask of Zorro","Mexico"
"4630100","America's Sweethearts","United States"
"4660100","The Bucket List","United States"
"4670100","Cats & Dogs","Australia"
"4670100","Cats & Dogs","United States"
"4680100","Two Weeks Notice","United States"
"4700100","Flubber","United States"
"4710100","Red Dragon","United States"
"4720100","When Harry Met Sally…","United States"
"4740100","Star Trek: First Contact","United States"
"4780100","The Haunting","United States"
"4790100","Stepmom","United States"
"4800100","Save the Last Dance","United States"
"4810100","The Karate Kid","United States"
"4830100","Scary Movie 4","United States"
"4840100","The Game Plan","United States"
"4850100","Legally Blonde 2: Red, White & Blonde","United States"
"4860100","The Scorpion King","United States"
"4860100","The Scorpion King","Germany"
"4860100","The Scorpion King","Belgium"
"4870100","Me, Myself & Irene","United States"
"4880100","High School Musical 3: Senior Year","United States"
"4890100","Madea Goes To Jail","United States"
"4910100","Space Jam","United States"
"4920100","Space Cowboys","United States"
"4940100","Mystic River","United States"
"4940100","Mystic River","Australia"
"4950100","Flightplan","United States"
"4960100","Julie & Julia","United States"
"4980100","The Emperor's New Groove","United States"
"4990100","Scream 3","United States"
"5010100","Failure to Launch","United States"
"5020100","Inside Man","United States"
"5030100","The Ugly Truth","United States"
"5050100","Starsky & Hutch","United States"
"5080100","Entrapment","United States"
"5090100","Back to the Future Part III","United States"
"5110100","Pineapple Express","United States"
"5120100","Everest","United States"
"5130100","Saw II","United States"
"5180100","Young Frankenstein","United States"
"5190100","Mean Girls","United States"
"5200100","Spy Kids 2: The Island of Lost Dreams","United States"
"5210100","Pokemon: The First Movie","Japan"
"5220100","SpongeBob SquarePants: The Movie","United States"
"5230100","Brother Bear","United States"
"5250100","Rocky 2","United States"
"5260100","Aliens","United States"
"5270100","Open Season","United States"
"5280100","Cinderella","United States"
"5300100","The Santa Clause 3: The Escape Clause","United States"
"5320100","Scooby-Doo 2: Monsters Unleashed","United States"
"5330100","Anchorman: The Legend of Ron Burgundy","United States"
"5340100","Atlantis: The Lost Empire","United States"
"5350100","Cliffhanger","United States"
"5350100","Cliffhanger","France"
"5350100","Cliffhanger","Italy"
"5360100","The X Files: Fight the Future","United States"
"5400100","Airplane!","United States"
"5420100","Fantasia","United States"
"5440100","Valkyrie","United States"
"5450100","Brokeback Mountain","United States"
"5470100","Charlotte's Web","United States"
"5480100","Monster-in-Law","United States"
"5500100","Days of Thunder","United States"
"5510100","Freddy vs. Jason","United States"
"5510100","Freddy vs. Jason","Canada"
"5530100","Cheaper by the Dozen 2","United States"
"5540100","Bram Stoker's Dracula","United States"
"5560100","Bridge to Terabithia","United States"
"5570100","The Pink Panther","United States"
"5580100","Beowulf","United States"
"5590100","Blade 2","United States"
"5600100","Eight Below","United States"
"5620100","Payback","United States"
"5640100","Die Hard","United States"
"5650100","The Talented Mr. Ripley","United States"
"5660100","School of Rock","United States"
"5700100","Snow Dogs","United States"
"5710100","While You Were Sleeping","United States"
"5730100","The Notebook","United States"
"5740100","Jimmy Neutron: Boy Genius","United States"
"5750100","Alien","United States"
"5750100","Alien","United Kingdom"
"5770100","Moonstruck","United States"
"5780100","The Texas Chainsaw Massacre","United States"
"5790100","Fiddler on the Roof","United States"
"5800100","AVP: Alien Vs. Predator","United States"
"5800100","AVP: Alien Vs. Predator","United Kingdom"
"5800100","AVP: Alien Vs. Predator","Czech Republic"
"5800100","AVP: Alien Vs. Predator","Canada"
"5800100","AVP: Alien Vs. Predator","Germany"
"5810100","What Happens in Vegas...","United States"
"5820100","The Dukes of Hazzard","United States"
"5830100","The Wedding Singer","United States"
"5840100","Saw III","United States"
"5850100","Disturbia","United States"
"5860100","Nacho Libre","United States"
"5870100","Jumper","United States"
"5880100","Cloverfield","United States"
"5890100","Footloose","United States"
"5900100","The Ten Commandments","United States"
"5910100","Knowing","United States"
"5940100","Space Station","United States"
"5960100","Hannah Montana: The Movie","United States"
"5970100","The Day the Earth Stood Still","United States"
"6010100","City of Angels","United States"
"6020100","The English Patient","Italy"
"6020100","The English Patient","Tunisia"
"6040100","Artificial Intelligence: AI","United States"
"6060100","We Were Soldiers","United States"
"6080100","Man on Fire","United States"
"6100100","Gangs of New York","United States"
"6120100","La marche de l'empereur","France"
"6140100","U-571","United States"
"6140100","U-571","France"
"6150100","The Terminal","United States"
"6190100","Rugrats in Paris","United States"
"6210100","The Untouchables","United States"
"6220100","Training Day","United States"
"6250100","Conspiracy Theory","United States"
"6260100","Hellboy II: The Golden Army","Germany"
"6260100","Hellboy II: The Golden Army","United States"
"6270100","Constantine","United States"
"6270100","Constantine","Germany"
"6280100","The Ring Two","United States"
"6300100","The Haunted Mansion","United States"
"6310100","You, Me and Dupree","United States"
"6320100","Barbershop","United States"
"6330100","The Family Man","United States"
"6350100","The Rookie","United States"
"6360100","Braveheart","United States"
"6380100","The Horse Whisperer","United States"
"6390100","Garfield: The Movie","United States"
"6400100","Ray","United States"
"6410100","Coraline","United States"
"6420100","Old School","United States"
"6440100","The Exorcism of Emily Rose","United States"
"6450100","Eragon","United States"
"6450100","Eragon","United Kingdom"
"6450100","Eragon","Hungary"
"6450100","Eragon","Australia"
"6490100","Ladder 49","United States"
"6500100","Four Brothers","United States"
"6500100","Four Brothers","Canada"
"6520100","Six Days, Seven Nights","United States"
"6530100","No Country for Old Men","United States"
"6540100","Sin City","United States"
"6560100","Christmas with the Kranks","United States"
"6580100","Monster House","United States"
"6590100","Deep Blue Sea","United States"
"6600100","Beetlejuice","United States"
"6610100","Spirit: Stallion of the Cimarron","United States"
"6630100","Hotel for Dogs","United States"
"6640100","Ben-Hur","United States"
"6650100","Barnyard: The Original Party Animals","Germany"
"6650100","Barnyard: The Original Party Animals","United States"
"6660100","Jackass: Number Two","United States"
"6670100","The Interpreter","United Kingdom"
"6690100","Vantage Point","United States"
"6700100","I Know What You Did Last Summer","United States"
"6730100","Fred Claus","United States"
"6740100","My Fair Lady","United States"
"6760100","R.V.","United States"
"6810100","The Bridges of Madison County","United States"
"6820100","Sideways","United States"
"6830100","Bridget Jones's Diary","United Kingdom"
"6840100","I Love You, Man","United States"
"6850100","Galaxy Quest","United States"
"6860100","National Lampoon's Christmas Vacation","United States"
"6870100","Chocolat","United Kingdom"
"6870100","Chocolat","United States"
"6880100","Scary Movie 2","United States"
"6890100","The Spiderwick Chronicles","United States"
"6910100","The Score","United States"
"6920100","John Q.","United States"
"6940100","Groundhog Day","United States"
"6950100","Shallow Hal","United States"
"6980100","V for Vendetta","United States"
"6980100","V for Vendetta","Germany"
"7010100","Shaft","United States"
"7020100","Moonraker","United Kingdom"
"7030100","World Trade Center","United States"
"7040100","Rocky Balboa","United States"
"7050100","Fool's Gold","United States"
"7050100","Fool's Gold","Australia"
"7060100","Star Trek: Insurrection","United States"
"7080100","Big Momma's House 2","United States"
"7090100","Blade","United States"
"7100100","Ferris Bueller's Day Off","United States"
"7110100","The Golden Compass","United Kingdom"
"7120100","Kill Bill: Volume 1","United States"
"7120100","Kill Bill: Volume 1","Japan"
"7150100","Seven Pounds","United States"
"7170100","Swordfish","United States"
"7190100","The Kid","United States"
"7210100","The Divine Secrets of the Ya-Ya Sisterhood","United States"
"7220100","The Thomas Crown Affair","United States"
"7230100","White Chicks","United States"
"7240100","Lost In Space","United States"
"7250100","Guess Who","United States"
"7260100","Cool Runnings","United States"
"7270100","Sahara","Spain"
"7270100","Sahara","Germany"
"7270100","Sahara","United States"
"7270100","Sahara","United Kingdom"
"7280100","Road Trip","United States"
"7290100","Vertical Limit","United States"
"7300100","Purple Rain","United States"
"7310100","Bring it On","United States"
"7340100","Obsessed","United States"
"7350100","Blue Streak","United States"
"7360100","Octopussy","United Kingdom"
"7380100","A Perfect Murder","United States"
"7400100","Heat","United States"
"7410100","Holes","United States"
"7420100","Role Models","United States"
"7430100","Hidalgo","United States"
"7440100","Coach Carter","United States"
"7450100","Insomnia","United States"
"7470100","Race to Witch Mountain","United States"
"7480100","Dante’s Peak","United States"
"7520100","End of Days","United States"
"7530100","The Mexican","United States"
"7540100","Changing Lanes","United States"
"7560100","Kangaroo Jack","United States"
"7560100","Kangaroo Jack","Australia"
"7570100","The Forgotten","United States"
"7580100","Charlie Wilson’s War","United States"
"7590100","The Godfather: Part III","United States"
"7610100","The Bone Collector","United States"
"7620100","The League of Extraordinary Gentlemen","United States"
"7630100","Bowfinger","United States"
"7640100","Big Fish","United States"
"7650100","The Parent Trap","United States"
"7660100","Kill Bill: Volume 2","United States"
"7680100","Herbie: Fully Loaded","United States"
"7690100","The Manchurian Candidate","United States"
"7690100","The Manchurian Candidate","Kuwait"
"7700100","Ever After: A Cinderella Story","United States"
"7720100","Lara Croft: Tomb Raider: The Cradle of Life","United States"
"7740100","Anaconda","United States"
"7740100","Anaconda","Brazil"
"7750100","Deuce Bigalow: Male Gigolo","United States"
"7770100","The Taking of Pelham 123","United States"
"7780100","Step Up","United States"
"7790100","Hannah Montana and Miley Cyrus: Best of Both Worlds Concert Tour","United States"
"7800100","The Amityville Horror","United States"
"7820100","Barbershop 2: Back in Business","United States"
"7840100","About Schmidt","United States"
"7850100","Friday the 13th","United States"
"7880100","Stuart Little 2","United States"
"7910100","Flushed Away","United States"
"7920100","L.A. Confidential","United States"
"7930100","The Happening","United States"
"7930100","The Happening","France"
"7950100","Miracle","United States"
"7960100","Jackass: The Movie","United States"
"7970100","Down to Earth","United States"
"7980100","17 Again","United States"
"7990100","Life","United States"
"8000100","Déjà Vu","United States"
"8010100","Sky High","United States"
"8030100","Dirty Dancing","United States"
"8050100","In & Out","United States"
"8060100","Mona Lisa Smile","United States"
"8100100","Babe","Australia"
"8100100","Babe","United States"
"8110100","Thunderball","United Kingdom"
"8120100","The Fifth Element","United States"
"8150100","Miami Vice","United States"
"8150100","Miami Vice","Paraguay"
"8150100","Miami Vice","Uruguay"
"8150100","Miami Vice","Germany"
"8160100","She's All That","United States"
"8180100","Bewitched","United States"
"8190100","Saw IV","United States"
"8200100","The Holiday","United States"
"8220100","Madea's Family Reunion","United States"
"8230100","The Final Destination","United States"
"8240100","Forgetting Sarah Marshall","United States"
"8260100","Beavis and Butt-Head Do America","United States"
"8280100","Jarhead","United States"
"8290100","The Fast and the Furious: Tokyo Drift","United States"
"8290100","The Fast and the Furious: Tokyo Drift","Germany"
"8330100","Spy Game","United States"
"8330100","Spy Game","United Kingdom"
"8340100","Underworld: Evolution","United States"
"8360100","Mouse Hunt","United States"
"8370100","Cinderella Man","United States"
"8390100","The Goonies","United States"
"8400100","The Saint","United States"
"8410100","Stomp the Yard","United States"
"8420100","Rules of Engagement","United States"
"8440100","The Cell","United States"
"8450100","Friday Night Lights","United States"
"8460100","The Time Traveler’s Wife","United States"
"8470100","Misery","United States"
"8480100","The Shaggy Dog","United States"
"8490100","Devil’s Advocate","United States"
"8500100","Mission to Mars","United States"
"8520100","Coyote Ugly","United States"
"8530100","Poseidon","United States"
"8540100","Three Kings","United States"
"8550100","Jingle All the Way","United States"
"8560100","Kiss the Girls","United States"
"8580100","Baby Mama","United States"
"8590100","Shanghai Knights","United States"
"8600100","The Wedding Planner","United States"
"8610100","Burn After Reading","United States"
"8630100","Hope Floats","United States"
"8640100","The Family Stone","United States"
"8650100","Bad Santa","United States"
"8660100","Brüno","United States"
"8690100","Snow Day","United States"
"8710100","Jungle 2 Jungle","United States"
"8720100","The Good Shepherd","United States"
"8730100","Little Miss Sunshine","United States"
"8740100","The Benchwarmers","United States"
"8750100","Predator","United States"
"8760100","Hellboy","United States"
"8770100","Gothika","United States"
"8800100","The Stepford Wives","United States"
"8810100","Love Actually","United Kingdom"
"8810100","Love Actually","United States"
"8810100","Love Actually","France"
"8820100","Scrooged","United States"
"8840100","Dawn of the Dead","United States"
"8860100","Surf's Up","United States"
"8870100","Behind Enemy Lines","United States"
"8880100","Bride Wars","United States"
"8900100","Curious George","United States"
"8910100","Little Man","United States"
"8920100","Jack","United States"
"8950100","Funny Girl","United States"
"8960100","Death Becomes Her","United States"
"8970100","Anastasia","United States"
"8980100","Open Range","United States"
"8990100","Halloween","United States"
"9000100","Bicentennial Man","United States"
"9010100","Ali","United States"
"9020100","Without a Paddle","United States"
"9040100","Step Up 2 the Streets","United States"
"9060100","The Butterfly Effect","United States"
"9060100","The Butterfly Effect","Canada"
"9070100","Red Eye","United States"
