"movie_odid","display_name","rating","reason"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","PG-13","for crude and sexual humor, language, drug references and brief comic violence"
"1880100","Gremlins","PG",""
"1890100","Gran Torino","R","for language throughout and some violence."
"1910100","G.I. Joe: The Rise of Cobra","PG-13","For strong sequences of action violence and mayhem throughout"
"1920100","Paul Blart: Mall Cop","PG","for some violence, mild crude and suggestive humor, and language"
"1940100","Lilo & Stitch","PG","for mild sci-fi action"
"1960100","Taken","PG-13","for intense sequences of violence, disturbing thematic material, sexual content, some drug references and language"
"1970100","The Santa Clause","PG","for few crude moments"
"1980100","I, Robot","PG-13","for intense stylized action, and some brief partial nudity"
"2000100","The Fast and the Furious","PG-13","for violence, sexual content and language"
"2010100","Doctor Dolittle","PG-13","for crude humor and language"
"2020100","Mamma Mia!","PG-13","for some sex-related comments."
"2030100","Juno","PG-13","for mature thematic material, sexual content and language"
"2040100","Marley & Me","PG","for thematic material, some suggestive content and language"
"2050100","xXx","PG-13","for violence, non-stop action sequences, sensuality, drug content and language"
"2070100","The Chronicles of Narnia: Prince Caspian","PG","for epic battle action and violence."
"2110100","Slumdog Millionaire","R","for some violence, disturbing images and language"
"2120100","Rush Hour","PG-13","for sequences of action/violence and shootings, and for language"
"2130100","The Blair Witch Project","R","NULL"
"2140100","Deep Impact","PG-13","for intense disaster related elements and brief language"
"2150100","Rush Hour 3","PG-13","for sequences of action violence, sexual content, nudity and language"
"2170100","Stuart Little","PG","for brief language"
"2180100","The Rocky Horror Picture Show","R",""
"2200100","Saturday Night Fever","R","for strong language, sexuality/nudity and some drug content. (2002 version)"
"2210100","The Matrix Revolutions","R","for sci-fi violence and brief sexual content"
"2220100","The Santa Clause 2","G","for General Audiences"
"2230100","Cheaper by the Dozen","PG","for language and some thematic elements"
"2240100","Bad Boys II","R","for strong violence and action, pervasive language, sexuality and drug content"
"2250100","Good Will Hunting","R","for strong language, including some sex-related dialogue"
"2260100","Platoon","R",""
"2270100","Dinosaur","PG","for intense images"
"2280100","Click","PG-13","for language, crude and sex-related humor, and some drug references."
"2290100","The Green Mile","R","for violence, language and some sex-related material."
"2300100","Ransom","R","for graphic bloody violence and strong language"
"2310100","Godzilla","PG-13","for sci-fi monster action/violence"
"2320100","101 Dalmatians","G","NULL"
"2330100","Anger Management","PG-13","on appeal for crude sexual content and language (previously rated R)"
"2340100","Chicken Little","G","NULL"
"2350100","Teenage Mutant Ninja Turtles","PG",""
"2360100","Patch Adams","PG-13","for some strong language and crude humor"
"2370100","The Godfather","R",""
"2380100","The Incredible Hulk","PG-13","for sequences of intense action violence, some frightening sci-fi images, and brief suggestive content."
"2390100","Live Free or Die Hard","PG-13","for intense sequences of violence and action, language and a brief sexual situation"
"2400100","Wanted","R","for strong bloody violence throughout, pervasive language and some sexuality."
"2410100","Superman","PG","for peril, some mild sensuality and language. "
"2430100","Mission: Impossible III","PG-13","for intense sequences of frenetic violence and menace, disturbing images and some sensuality."
"2440100","Angels & Demons","PG-13","for sequences of violence, disturbing images and thematic material"
"2450100","The Departed","R","for strong brutal violence, pervasive language, some strong sexual content and drug material."
"2460100","Troy","R","for graphic violence and some sexuality/nudity"
"2470100","Bringing Down the House","PG-13","for language, sexual humor and drug material"
"2480100","Hulk","PG-13","for sci-fi action violence, some disturbing images and brief partial nudity"
"2490100","Minority Report","PG-13","for violence, brief language, some sexuality and drug content"
"2500100","Fantastic Four: Rise of the Silver Surfer","PG","for sequences of action violence, some mild language and innuendo"
"2510100","Lara Croft: Tomb Raider","PG-13","for action violence and some sensuality"
"2520100","The Silence of the Lambs","R",""
"2530100","Honey, I Shrunk the Kids","PG",""
"2550100","Lethal Weapon 4","R","for violence and language"
"2560100","Get Smart","PG-13","for some rude humor, action violence and language"
"2600100","The Ring","PG-13","NULL"
"2620100","Borat","R","for pervasive strong crude and sexual content including graphic nudity, and language."
"2630100","Robots","PG","for some brief language and suggestive humor."
"2650100","Crouching Tiger, Hidden Dragon","PG-13","for martial arts violence and some sexuality"
"2660100","Rocky IV","PG",""
"2670100","Enchanted","PG","for some scary images and mild innuendo"
"2680100","The Curious Case of Benjamin Button","PG-13","for brief war violence, sexual content, language and smoking"
"2690100","Sweet Home Alabama","PG-13","for some language/sexual references"
"2700100","Dumb & Dumber","PG-13","for crude and sex-related humor, and for language"
"2720100","The World is Not Enough","PG-13","for intense sequences of action violence, some sexuality and innuendo"
"2730100","My Best Friend's Wedding","PG","for mild suggestive content."
"2750100","Sleepless in Seattle","PG","for some language."
"2760100","Bee Movie","PG","for mild suggestive humor"
"2770100","Mr. Deeds","PG-13","NULL"
"2790100","The Truman Show","PG","for thematic elements and mild language"
"2800100","Erin Brockovich","R","for language"
"2810100","Ocean's Twelve","PG-13","for language"
"2820100","Terminator Salvation","PG-13","For intense sequences of sci-fi violence and action, and language"
"2830100","Charlie's Angels","PG-13","for action violence, innuendo and some sensuality/nudity"
"2840100","Tomorrow Never Dies","PG-13","for intense sequences of action violence, sexuality and innuendo"
"2850100","Rocky III","PG",""
"2860100","The Devil Wears Prada","PG-13","for some sensuality"
"2870100","Something's Gotta Give","PG-13","for sexual content, brief nudity and strong language"
"2880100","Traffic","R","for pervasive drug content, strong language, violence and some sexuality."
"2900100","City Slickers","PG-13",""
"2920100","Nutty Professor II: The Klumps","PG-13","for crude humor and sex-related material"
"2940100","The Bodyguard","R","for language."
"2950100","Wayne's World","PG-13","for sex related dialogue"
"2960100","The Bourne Identity","PG-13","for violence and some language"
"2970100","Superbad","R","for pervasive crude and sexual content, strong language, drinking, some drug use and a fantasy/comic violent image - all involving teens"
"2980100","Speed","R","for violence and language"
"2990100","50 First Dates","PG-13","for crude sexual humor and drug references"
"3000100","The Hunt for Red October","PG",""
"3010100","Mulan","G","NULL"
"3020100","Seabiscuit","PG-13","for some sexual situations and violent sports-related images."
"3030100","Van Helsing","PG-13","for nonstop creature action violence and frightening images, and for sensuality"
"3040100","Four Christmases","PG-13","for some sexual language and humor"
"3050100","The Mask","PG-13","for some stylized violence"
"3060100","I Now Pronounce You Chuck and Larry","PG-13","for crude sexual content throughout, nudity, language and drug references (Re-rated edited version)"
"3080100","Walk the Line","PG-13","for some language, thematic material and depiction of drug dependency."
"3100100","Total Recall","R",""
"3120100","Fahrenheit 9/11","R","for violence, disturbing images and language"
"3130100","Hairspray","PG","for language, some suggestive content and momentary teen smoking"
"3140100","The Break-Up","PG-13","for sexual content, some nudity and language"
"3150100","Lemony Snicket's A Series of Unfortunate Events","PG","for thematic elements, scary situations and brief language"
"3160100","Blades of Glory","PG-13","for crude and sexual humor, language, a comic violent image and some drug references"
"3170100","The Sum of All Fears","PG-13","for violence, disaster images and brief strong language"
"3180100","Back to the Future Part II","PG",""
"3200100","Big Momma's House","PG-13","for crude humor including sexual innuendo, and for language and some violence"
"3210100","Die Hard 2","R",""
"3220100","Rocky","PG",""
"3230100","G-Force","PG","For some mild action and rude humor"
"3240100","Ocean's Thirteen","PG-13","for brief sensuality"
"3250100","S.W.A.T.","PG-13","for violence, language and sexual references"
"3260100","Double Jeopardy","R","for language, a scene of sexuality and some violence"
"3270100","8 Mile","R","for strong language, sexuality, some violence and drug use."
"3280100","Notting Hill","PG-13","for sexual content and brief strong language"
"3300100","You’ve Got Mail","PG","for some language."
"3310100","Ghost Rider","PG-13","for horror violence and disturbing images."
"3320100","Remember the Titans","PG","for thematic elements and some language"
"3340100","American Graffiti","PG",""
"3360100","Dodgeball: A True Underdog Story","PG-13","for rude and sexual humor, and language."
"3370100","The Village","PG-13","for a scene of violence and frightening situations"
"3380100","Bolt","PG","for some mild action and peril"
"3390100","Wild Wild West","PG-13","for action violence, sex references and innuendo"
"3410100","The Patriot","R","for strong war violence"
"3420100","The Pacifier","PG","for action violence, language and rude humor."
"3430100","Dr. Dolittle 2","PG","for language and crude humor"
"3440100","Spy Kids","PG","for action sequences"
"3460100","District 9","R","for bloody violence and pervasive language"
"3470100","Face/Off","R","for intense sequences of strong violence, and for strong language"
"3490100","Spy Kids 3-D: Game Over","PG","for action sequences and peril"
"3500100","Inglourious Basterds","R","For strong graphic violence, language and brief sexuality"
"3510100","Doctor Zhivago","PG-13","for mature themes. "
"3520100","Enemy of the State","R","for language and violence"
"3530100","The Little Mermaid","G","NULL"
"3540100","The Last Samurai","R","for strong violence and battle sequences"
"3550100","Fun With Dick And Jane","PG-13","for brief language, some sexual humor and occasional humorous drug references"
"3560100","Tropic Thunder","R","for pervasive language including sexual references, violent content and drug material"
"3570100","The Grudge","PG-13","for mature thematic material, disturbing images/terror/violence, and some sensuality."
"3580100","Freaky Friday","PG","for mild thematic elements and some language"
"3590100","Bedtime Stories","PG","for some mild rude humor and mild language"
"3600100","Scary Movie 3","PG-13","for pervasive crude and sexual humor, language, comic violence and drug references"
"3630100","The 40 Year-old Virgin","R","for pervasive sexual content, language and some drug use"
"3650100","One Flew Over the Cuckoo's Nest","R",""
"3670100","Black Hawk Down","R","for intense, realistic, graphic war violence, and for language"
"3700100","The Princess Diaries","G","NULL"
"3720100","Pulp Fiction","R","for strong graphic violence and drug use, pervasive strong language and some sexuality."
"3740100","Watchmen","R","for strong graphic violence, sexuality, nudity and language"
"3760100","Analyze This","R","for language, a scene of sexuality and some violence"
"3770100","Miss Congeniality","PG-13","for sexual references and a scene of violence"
"3780100","Chicken Run","G","NULL"
"3810100","Goldeneye","PG-13","for a number of sequences of action/violence and for some sexuality"
"3840100","The Italian Job","PG-13","for violence and some language"
"3850100","How to Lose a Guy in 10 Days","PG-13","for some sex-related material"
"3860100","The First Wives Club","PG","for thematic elements, some mild language and sensuality"
"3880100","George Of The Jungle","PG","for crude humor and mild violence, language and sensuality"
"3890100","Phenomenon","PG","for language and mild sensuality."
"3900100","The Graduate","PG",""
"3910100","American Wedding","R","for sexual content, language and crude humor"
"3930100","Daddy Day Care","PG","for language"
"3940100","Road to Perdition","R","NULL"
"3960100","Dreamgirls","PG-13","for language, some sexuality and drug content"
"3970100","Nine to Five","PG",""
"3980100","Scream","R","for strong graphic horror violence and gore, and for language"
"4010100","The General's Daughter","R","for graphic images relating to sexual violence including a strong rape scene, some perverse sexuality, nudity and language."
"4020100","The Aviator","PG-13","for thematic elements, sexual content, nudity, language and a crash sequence."
"4030100","Daredevil","PG-13","for action/violence and some sensuality"
"4040100","The Mummy: Tomb of the Dragon Emperor","PG-13","for adventure action and violence."
"4050100","Butch Cassidy and the Sundance Kid","PG","(re-rating, originally rated M)"
"4060100","Mary Poppins","G",""
"4080100","American Pie","R","for strong sexuality, crude sexual dialogue, language and drinking, all involving teens"
"4090100","Journey to the Center of the Earth","PG","for intense adventure action and some scary moments"
"4100100","Gone in 60 Seconds","PG-13","for violence, sexuality and language"
"4130100","Eagle Eye","PG-13","for intense sequences of action and violence, and for language."
"4140100","The Prince of Egypt","PG","for intense depiction of thematic elements"
"4150100","Scream 2","R","for language and strong bloody violence"
"4190100","Con Air","R","for strong violence and language"
"4200100","Sleepy Hollow","R","for graphic horror violence and gore, and for a scene of sexuality"
"4210100","The Cat in the Hat","PG","for mild crude humor and some double entendres"
"4220100","Contact","PG","for some intense action, mild language and a scene of sensuality."
"4230100","Charlie's Angels: Full Throttle","PG-13","for action violence, sensuality and language/innuendo"
"4250100","Vanilla Sky","R","for sexuality and strong language"
"4260100","The Rugrats Movie","G","NULL"
"4270100","Million Dollar Baby","PG-13","for violence, some disturbing images, thematic material and language."
"4290100","Step Brothers","R","for crude and sexual content, and pervasive language."
"4300100","Jumanji","PG","for menacing fantasy action and some mild language"
"4320100","Shakespeare in Love","R","for sexuality"
"4330100","Evan Almighty","PG","for milde rude humor and some peril"
"4340100","Collateral","R","for violence and language"
"4350100","The Hunchback of Notre Dame","G","NULL"
"4360100","Se7en","R","for grisly afterviews of horrific and bizarre killings, and for strong language"
"4380100","You Don't Mess With the Zohan","PG-13","for crude and sexual content throughout, language and nudity."
"4400100","Hercules","G","NULL"
"4430100","Meet the Robinsons","G","NULL"
"4440100","Yes Man","PG-13","for crude sexual humor, language and brief nudity"
"4450100","Inspector Gadget","PG","for whacky violence/action, language and innuendo"
"4460100","Public Enemies","R","for gangster violence and some language."
"4470100","The Others","PG-13","for thematic elements and frightening moments"
"4480100","Legally Blonde","PG-13","for language and sexual references"
"4490100","Schindler’s List","R","for language, some sexuality and actuality violence. "
"4500100","Dead Poets Society","PG",""
"4510100","Norbit","PG-13","for crude and sexual humor, some nudity and language (re-rated from R after edits)"
"4520100","Cold Mountain","R","for violence and sexuality."
"4530100","Michael","PG","for a mild barroom brawl, some language and sensuality"
"4540100","Panic Room","R","for violence and language"
"4550100","The Princess Diaries 2: Royal Engagement","G","NULL"
"4560100","Unbreakable","PG-13","for mature themes, some disturbing content and a sexual reference"
"4580100","Beverly Hills Chihuahua","PG","for some mild thematic elements."
"4590100","He's Just Not That Into You","PG-13","for sexual content and brief strong language"
"4600100","Maid in Manhattan","PG-13","for some language/sexual references"
"4610100","Master and Commander: The Far Side of the World","PG-13","for intense battle sequences, related images, and brief language"
"4620100","The Mask of Zorro","PG-13","for some intense action and violence"
"4630100","America's Sweethearts","PG-13","for language, some crude and sexual humor"
"4660100","The Bucket List","PG-13","for language, including a sexual reference"
"4670100","Cats & Dogs","PG","for animal action and humor"
"4680100","Two Weeks Notice","PG-13","for some sex-related humor"
"4700100","Flubber","PG","for slapstick action and mild language"
"4710100","Red Dragon","R","NULL"
"4720100","When Harry Met Sally…","R",""
"4740100","Star Trek: First Contact","PG-13","for some sci-fi adventure violence"
"4780100","The Haunting","PG-13","for intense horror sequences"
"4790100","Stepmom","PG-13","for language and thematic elements."
"4800100","Save the Last Dance","PG-13","for violence, sexual content, language and brief drug references"
"4810100","The Karate Kid","PG",""
"4830100","Scary Movie 4","PG-13","for crude and sexual humor throughout, some comic violence and language"
"4840100","The Game Plan","PG","for some mild thematic elements"
"4850100","Legally Blonde 2: Red, White & Blonde","PG-13","for some sex-related humor"
"4860100","The Scorpion King","PG-13","for intense sequences of action violence and some sensuality"
"4870100","Me, Myself & Irene","R","for sexual content, crude humor, strong language and some violence"
"4880100","High School Musical 3: Senior Year","G","NULL"
"4890100","Madea Goes To Jail","PG-13","for thematic material, drug content, some violence and sexual situations"
"4910100","Space Jam","PG","for some mild cartoon language"
"4920100","Space Cowboys","PG-13","for some language"
"4940100","Mystic River","R","for language and violence."
"4950100","Flightplan","PG-13","for violence and some intense plot material."
"4960100","Julie & Julia","PG-13","for brief strong language and some sensuality"
"4980100","The Emperor's New Groove","G","NULL"
"4990100","Scream 3","R","for strong horror violence and language"
"5010100","Failure to Launch","PG-13","for sexual content, partial nudity and language."
"5020100","Inside Man","R","for language and some violent images"
"5030100","The Ugly Truth","R","for sexual content and language"
"5050100","Starsky & Hutch","PG-13","for drug content, sexual situations, partial nudity, language and some violence"
"5080100","Entrapment","PG-13","for some language, sensuality, violence and drug content"
"5090100","Back to the Future Part III","PG",""
"5110100","Pineapple Express","R","for pervasive language, drug use, sexual references and violence."
"5120100","Everest","PG-13","For some intense adventure action, brief drug use and language"
"5130100","Saw II","R","for grisly violence and gore, terror, language and drug content."
"5180100","Young Frankenstein","PG",""
"5190100","Mean Girls","PG-13","for sexual content, language and some teen partying"
"5200100","Spy Kids 2: The Island of Lost Dreams","PG","for action sequences and brief rude humor"
"5210100","Pokemon: The First Movie","G","NULL"
"5220100","SpongeBob SquarePants: The Movie","PG","for some mild crude humor"
"5230100","Brother Bear","G",""
"5250100","Rocky 2","PG",""
"5260100","Aliens","R","NULL"
"5270100","Open Season","PG","for some rude humor, mild action and brief language"
"5280100","Cinderella","G",""
"5300100","The Santa Clause 3: The Escape Clause","G","NULL"
"5320100","Scooby-Doo 2: Monsters Unleashed","PG","for some scary action, rude humor and language"
"5330100","Anchorman: The Legend of Ron Burgundy","PG-13","for sexual humor, language and comic violence"
"5340100","Atlantis: The Lost Empire","PG","for action violence"
"5350100","Cliffhanger","R","for violence and language."
"5360100","The X Files: Fight the Future","PG-13","for some intense violence and gore"
"5400100","Airplane!","PG",""
"5420100","Fantasia","G",""
"5440100","Valkyrie","PG-13","for violence and brief strong language"
"5450100","Brokeback Mountain","R","for sexuality, nudity, language and some violence. "
"5470100","Charlotte's Web","G","NULL"
"5480100","Monster-in-Law","PG-13","for sex references and language"
"5500100","Days of Thunder","PG-13",""
"5510100","Freddy vs. Jason","R","for pervasive strong horror violence/gore, gruesome images, sexuality, drug use and language"
"5530100","Cheaper by the Dozen 2","PG","for some crude humor and mild language"
"5540100","Bram Stoker's Dracula","R","for sexuality and horror violence."
"5560100","Bridge to Terabithia","PG","for thematic elements including bullying, some peril and mild language."
"5570100","The Pink Panther","PG","for occasional crude and suggestive humor and language."
"5580100","Beowulf","PG-13","for intense sequences of violence including disturbing images, some sexual material and nudity"
"5590100","Blade 2","R","for strong pervasive violence, language, some drug use and sexual content"
"5600100","Eight Below","PG","for some peril and brief mild language."
"5620100","Payback","R","for strong violence, language, and drug and sexual content"
"5640100","Die Hard","R",""
"5650100","The Talented Mr. Ripley","R","for violence, language and brief nudity."
"5660100","School of Rock","PG-13","for some rude humor and drug references."
"5700100","Snow Dogs","PG","for mild crude humor"
"5710100","While You Were Sleeping","PG","for some language"
