"movie_odid","display_name","language"
"650100","The Lost World: Jurassic Park","English"
"660100","Signs","English"
"670100","Hancock","English"
"680100","The Bourne Ultimatum","English"
"690100","Rush Hour 2","English"
"700100","WALL-E","English"
"710100","National Treasure: Book of Secrets","English"
"730100","King Kong","English"
"740100","Ghost","English"
"750100","The Da Vinci Code","English"
"750100","The Da Vinci Code","French"
"750100","The Da Vinci Code","Spanish"
"750100","The Da Vinci Code","Latin"
"760100","Aladdin","English"
"770100","Alvin and the Chipmunks","English"
"780100","Saving Private Ryan","English"
"790100","Kung Fu Panda","English"
"800100","Mission: Impossible 2","English"
"810100","X-Men 2","English"
"820100","Austin Powers in Goldmember","English"
"840100","Back to the Future","English"
"850100","Wedding Crashers","English"
"860100","Charlie and the Chocolate Factory","English"
"870100","Ratatouille","English"
"880100","Austin Powers: The Spy Who Shagged Me","English"
"890100","Batman Begins","English"
"900100","Terminator 2: Judgment Day","English"
"910100","The Exorcist","English"
"920100","The Mummy Returns","English"
"940100","Superman Returns","English"
"950100","Gone with the Wind","English"
"960100","Pearl Harbor","English"
"960100","Pearl Harbor","Japanese"
"970100","Monsters vs. Aliens","English"
"980100","Happy Feet","English"
"990100","Indiana Jones and the Last Crusade","English"
"1000100","Ice Age: The Meltdown","English"
"1010100","Ice Age: Dawn of the Dinosaurs","English"
"1020100","Madagascar","English"
"1030100","Toy Story","English"
"1040100","Twilight","English"
"1050100","Men in Black 2","English"
"1060100","Gladiator","English"
"1070100","The Day After Tomorrow","English"
"1080100","Mr. and Mrs. Smith","English"
"1100100","Dances with Wolves","English"
"1110100","Batman Forever","English"
"1130100","Ocean's Eleven","English"
"1140100","The Simpsons Movie","English"
"1150100","What Women Want","English"
"1160100","The Perfect Storm","English"
"1170100","Grease","English"
"1180100","Liar Liar","English"
"1190100","Jurassic Park III","English"
"1190100","Jurassic Park III","Spanish"
"1210100","The Polar Express","English"
"1220100","Planet of the Apes","English"
"1230100","Madagascar: Escape 2 Africa","English"
"1240100","Indiana Jones and the Temple of Doom","English"
"1240100","Indiana Jones and the Temple of Doom","Mandarin"
"1240100","Indiana Jones and the Temple of Doom","Hindi"
"1240100","Indiana Jones and the Temple of Doom","Sinhala"
"1250100","X-Men Origins: Wolverine","English"
"1260100","Pretty Woman","English"
"1270100","Hitch","English"
"1290100","Night at the Museum: Battle of the Smithsonian","English"
"1300100","Top Gun","English"
"1310100","There's Something About Mary","English"
"1320100","Ice Age","English"
"1330100","The Bourne Supremacy","English"
"1350100","Home Alone 2: Lost in New York","English"
"1360100","Elf","English"
"1370100","National Treasure","English"
"1410100","The Matrix","English"
"1420100","Beauty and the Beast","English"
"1430100","Tarzan","English"
"1440100","A Beautiful Mind","English"
"1450100","Chicago","English"
"1460100","Quantum of Solace","English"
"1470100","Wild Hogs","English"
"1490100","Casino Royale","English"
"1500100","Meet the Parents","English"
"1510100","Close Encounters of the Third Kind","English"
"1530100","Hannibal","English"
"1540100","Catch Me if You Can","English"
"1540100","Catch Me if You Can","French"
"1550100","Big Daddy","English"
"1560100","The Sound of Music","English"
"1570100","Batman Returns","English"
"1580100","A Bug's Life","English"
"1590100","The Pursuit of Happyness","English"
"1600100","The Proposal","English"
"1610100","The Waterboy","English"
"1620100","Die Another Day","English"
"1630100","Shark Tale","English"
"1660100","The Longest Yard","English"
"1670100","X-Men","English"
"1680100","Scary Movie","English"
"1700100","What Lies Beneath","English"
"1710100","The Mummy","English"
"1720100","Fast & Furious","English"
"1730100","Over the Hedge","English"
"1740100","Fantastic Four","English"
"1750100","Horton Hears a Who","English"
"1770100","Jerry Maguire","English"
"1790100","Scooby-Doo","English"
"1800100","101 Dalmatians","English"
"1810100","Sex and the City","English"
"1820100","Runaway Bride","English"
"1850100","Knocked Up","English"
"1860100","As Good as it Gets","English"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","English"
"1880100","Gremlins","English"
"1890100","Gran Torino","English"
"1910100","G.I. Joe: The Rise of Cobra","English"
"1920100","Paul Blart: Mall Cop","English"
"1940100","Lilo & Stitch","English"
"1940100","Lilo & Stitch","Hawaiian"
"1960100","Taken","English"
"1960100","Taken","French"
"1960100","Taken","Albanian"
"1960100","Taken","Arabic"
"1970100","The Santa Clause","English"
"1980100","I, Robot","English"
"2000100","The Fast and the Furious","English"
"2010100","Doctor Dolittle","English"
"2020100","Mamma Mia!","English"
"2030100","Juno","English"
"2040100","Marley & Me","English"
"2050100","xXx","English"
"2070100","The Chronicles of Narnia: Prince Caspian","English"
"2110100","Slumdog Millionaire","English"
"2120100","Rush Hour","English"
"2130100","The Blair Witch Project","English"
"2140100","Deep Impact","English"
"2150100","Rush Hour 3","English"
"2150100","Rush Hour 3","Cantonese"
"2150100","Rush Hour 3","French"
"2150100","Rush Hour 3","Japanese"
"2170100","Stuart Little","English"
"2180100","The Rocky Horror Picture Show","English"
"2210100","The Matrix Revolutions","English"
"2210100","The Matrix Revolutions","French"
"2220100","The Santa Clause 2","English"
"2230100","Cheaper by the Dozen","English"
"2240100","Bad Boys II","English"
"2250100","Good Will Hunting","English"
"2260100","Platoon","English"
"2260100","Platoon","Vietnamese"
"2270100","Dinosaur","English"
"2280100","Click","English"
"2290100","The Green Mile","English"
"2300100","Ransom","English"
"2310100","Godzilla","English"
"2320100","101 Dalmatians","English"
"2330100","Anger Management","English"
"2340100","Chicken Little","English"
"2350100","Teenage Mutant Ninja Turtles","English"
"2370100","The Godfather","English"
"2380100","The Incredible Hulk","English"
"2390100","Live Free or Die Hard","English"
"2400100","Wanted","English"
"2410100","Superman","English"
"2430100","Mission: Impossible III","English"
"2440100","Angels & Demons","English"
"2450100","The Departed","English"
"2460100","Troy","English"
"2470100","Bringing Down the House","English"
"2480100","Hulk","English"
"2490100","Minority Report","English"
"2500100","Fantastic Four: Rise of the Silver Surfer","English"
"2510100","Lara Croft: Tomb Raider","English"
"2520100","The Silence of the Lambs","English"
"2530100","Honey, I Shrunk the Kids","English"
"2560100","Get Smart","English"
"2600100","The Ring","English"
"2620100","Borat","English"
"2630100","Robots","English"
"2650100","Crouching Tiger, Hidden Dragon","Mandarin"
"2660100","Rocky IV","English"
"2660100","Rocky IV","Russian"
"2670100","Enchanted","English"
"2680100","The Curious Case of Benjamin Button","English"
"2690100","Sweet Home Alabama","English"
"2700100","Dumb & Dumber","English"
"2720100","The World is Not Enough","English"
"2730100","My Best Friend's Wedding","English"
"2750100","Sleepless in Seattle","English"
"2760100","Bee Movie","English"
"2770100","Mr. Deeds","English"
"2790100","The Truman Show","English"
"2800100","Erin Brockovich","English"
"2810100","Ocean's Twelve","English"
"2820100","Terminator Salvation","English"
"2830100","Charlie's Angels","English"
"2840100","Tomorrow Never Dies","English"
"2850100","Rocky III","English"
"2860100","The Devil Wears Prada","English"
"2870100","Something's Gotta Give","English"
"2880100","Traffic","English"
"2880100","Traffic","Spanish"
"2900100","City Slickers","English"
"2920100","Nutty Professor II: The Klumps","English"
"2940100","The Bodyguard","English"
"2960100","The Bourne Identity","English"
"2970100","Superbad","English"
"2980100","Speed","English"
"2990100","50 First Dates","English"
"3000100","The Hunt for Red October","English"
"3020100","Seabiscuit","English"
"3030100","Van Helsing","English"
"3040100","Four Christmases","English"
"3050100","The Mask","English"
"3060100","I Now Pronounce You Chuck and Larry","English"
"3080100","Walk the Line","English"
"3100100","Total Recall","English"
"3120100","Fahrenheit 9/11","English"
"3130100","Hairspray","English"
"3140100","The Break-Up","English"
"3150100","Lemony Snicket's A Series of Unfortunate Events","English"
"3160100","Blades of Glory","English"
"3170100","The Sum of All Fears","English"
"3180100","Back to the Future Part II","English"
"3200100","Big Momma's House","English"
"3210100","Die Hard 2","English"
"3210100","Die Hard 2","Spanish"
"3220100","Rocky","English"
"3230100","G-Force","English"
"3240100","Ocean's Thirteen","English"
"3250100","S.W.A.T.","English"
"3260100","Double Jeopardy","English"
"3270100","8 Mile","English"
"3280100","Notting Hill","English"
"3300100","You’ve Got Mail","English"
"3310100","Ghost Rider","English"
"3320100","Remember the Titans","English"
"3340100","American Graffiti","English"
"3360100","Dodgeball: A True Underdog Story","English"
"3370100","The Village","English"
"3380100","Bolt","English"
"3390100","Wild Wild West","English"
"3410100","The Patriot","English"
"3420100","The Pacifier","English"
"3430100","Dr. Dolittle 2","English"
"3440100","Spy Kids","English"
"3460100","District 9","English"
"3460100","District 9","Nyanja"
"3470100","Face/Off","English"
"3490100","Spy Kids 3-D: Game Over","English"
"3500100","Inglourious Basterds","English"
"3500100","Inglourious Basterds","German"
"3500100","Inglourious Basterds","French"
"3500100","Inglourious Basterds","Italian"
"3510100","Doctor Zhivago","English"
"3510100","Doctor Zhivago","Russian"
"3520100","Enemy of the State","English"
"3530100","The Little Mermaid","English"
"3540100","The Last Samurai","English"
"3550100","Fun With Dick And Jane","English"
"3560100","Tropic Thunder","English"
"3570100","The Grudge","English"
"3580100","Freaky Friday","English"
"3590100","Bedtime Stories","English"
"3600100","Scary Movie 3","English"
"3630100","The 40 Year-old Virgin","English"
"3650100","One Flew Over the Cuckoo's Nest","English"
"3670100","Black Hawk Down","English"
"3700100","The Princess Diaries","English"
"3720100","Pulp Fiction","English"
"3740100","Watchmen","English"
"3760100","Analyze This","English"
"3770100","Miss Congeniality","English"
"3780100","Chicken Run","English"
"3810100","Goldeneye","English"
"3840100","The Italian Job","English"
"3840100","The Italian Job","Italian"
"3860100","The First Wives Club","English"
"3880100","George Of The Jungle","English"
"3890100","Phenomenon","English"
"3900100","The Graduate","English"
"3910100","American Wedding","English"
"3930100","Daddy Day Care","English"
"3940100","Road to Perdition","English"
"3960100","Dreamgirls","English"
"3970100","Nine to Five","English"
"3980100","Scream","English"
"4010100","The General's Daughter","English"
"4020100","The Aviator","English"
"4030100","Daredevil","English"
"4040100","The Mummy: Tomb of the Dragon Emperor","English"
"4050100","Butch Cassidy and the Sundance Kid","English"
"4060100","Mary Poppins","English"
"4080100","American Pie","English"
"4090100","Journey to the Center of the Earth","English"
"4100100","Gone in 60 Seconds","English"
"4130100","Eagle Eye","English"
"4140100","The Prince of Egypt","English"
"4140100","The Prince of Egypt","Hebrew"
"4190100","Con Air","English"
"4200100","Sleepy Hollow","English"
"4210100","The Cat in the Hat","English"
"4220100","Contact","English"
"4230100","Charlie's Angels: Full Throttle","English"
"4250100","Vanilla Sky","English"
"4270100","Million Dollar Baby","English"
"4290100","Step Brothers","English"
"4300100","Jumanji","English"
"4320100","Shakespeare in Love","English"
"4330100","Evan Almighty","English"
"4340100","Collateral","English"
"4360100","Se7en","English"
"4380100","You Don't Mess With the Zohan","English"
"4400100","Hercules","English"
"4430100","Meet the Robinsons","English"
"4440100","Yes Man","English"
"4450100","Inspector Gadget","English"
"4460100","Public Enemies","English"
"4470100","The Others","English"
"4470100","The Others","French"
"4480100","Legally Blonde","English"
"4490100","Schindler’s List","English"
"4490100","Schindler’s List","Hebrew"
"4490100","Schindler’s List","German"
"4490100","Schindler’s List","Polish"
"4500100","Dead Poets Society","English"
"4510100","Norbit","English"
"4520100","Cold Mountain","English"
"4550100","The Princess Diaries 2: Royal Engagement","English"
"4560100","Unbreakable","English"
"4580100","Beverly Hills Chihuahua","English"
"4580100","Beverly Hills Chihuahua","Spanish"
"4590100","He's Just Not That Into You","English"
"4600100","Maid in Manhattan","English"
"4610100","Master and Commander: The Far Side of the World","English"
"4620100","The Mask of Zorro","English"
"4630100","America's Sweethearts","English"
"4660100","The Bucket List","English"
"4670100","Cats & Dogs","English"
"4680100","Two Weeks Notice","English"
"4700100","Flubber","English"
"4710100","Red Dragon","English"
"4720100","When Harry Met Sally…","English"
"4740100","Star Trek: First Contact","English"
"4780100","The Haunting","English"
"4790100","Stepmom","English"
"4810100","The Karate Kid","English"
"4830100","Scary Movie 4","English"
"4840100","The Game Plan","English"
"4850100","Legally Blonde 2: Red, White & Blonde","English"
"4860100","The Scorpion King","English"
"4870100","Me, Myself & Irene","English"
"4880100","High School Musical 3: Senior Year","English"
"4890100","Madea Goes To Jail","English"
"4910100","Space Jam","English"
"4920100","Space Cowboys","English"
"4940100","Mystic River","English"
"4950100","Flightplan","English"
"4960100","Julie & Julia","English"
"4980100","The Emperor's New Groove","English"
"4990100","Scream 3","English"
"5010100","Failure to Launch","English"
"5020100","Inside Man","English"
"5030100","The Ugly Truth","English"
"5050100","Starsky & Hutch","English"
"5080100","Entrapment","English"
"5090100","Back to the Future Part III","English"
"5110100","Pineapple Express","English"
"5120100","Everest","English"
"5180100","Young Frankenstein","English"
"5190100","Mean Girls","English"
"5200100","Spy Kids 2: The Island of Lost Dreams","English"
"5210100","Pokemon: The First Movie","Japanese"
"5220100","SpongeBob SquarePants: The Movie","English"
"5230100","Brother Bear","English"
"5250100","Rocky 2","English"
"5260100","Aliens","English"
"5270100","Open Season","English"
"5280100","Cinderella","English"
"5300100","The Santa Clause 3: The Escape Clause","English"
"5320100","Scooby-Doo 2: Monsters Unleashed","English"
"5330100","Anchorman: The Legend of Ron Burgundy","English"
"5340100","Atlantis: The Lost Empire","English"
"5340100","Atlantis: The Lost Empire","French"
"5340100","Atlantis: The Lost Empire","Spanish"
"5350100","Cliffhanger","English"
"5360100","The X Files: Fight the Future","English"
"5400100","Airplane!","English"
"5420100","Fantasia","English"
"5440100","Valkyrie","English"
"5450100","Brokeback Mountain","English"
"5470100","Charlotte's Web","English"
"5480100","Monster-in-Law","English"
"5500100","Days of Thunder","English"
"5510100","Freddy vs. Jason","English"
"5530100","Cheaper by the Dozen 2","English"
"5540100","Bram Stoker's Dracula","English"
"5560100","Bridge to Terabithia","English"
"5570100","The Pink Panther","English"
"5580100","Beowulf","English"
"5590100","Blade 2","English"
"5600100","Eight Below","English"
"5620100","Payback","English"
"5640100","Die Hard","English"
"5650100","The Talented Mr. Ripley","English"
"5660100","School of Rock","English"
"5700100","Snow Dogs","English"
"5710100","While You Were Sleeping","English"
"5730100","The Notebook","English"
"5750100","Alien","English"
"5770100","Moonstruck","English"
"5780100","The Texas Chainsaw Massacre","English"
"5790100","Fiddler on the Roof","English"
"5790100","Fiddler on the Roof","Hebrew"
"5790100","Fiddler on the Roof","Russian"
"5800100","AVP: Alien Vs. Predator","English"
"5810100","What Happens in Vegas...","English"
"5820100","The Dukes of Hazzard","English"
"5830100","The Wedding Singer","English"
"5840100","Saw III","English"
"5850100","Disturbia","English"
"5860100","Nacho Libre","English"
"5870100","Jumper","English"
"5880100","Cloverfield","English"
"5890100","Footloose","English"
"5900100","The Ten Commandments","English"
"5910100","Knowing","English"
"5940100","Space Station","English"
"5960100","Hannah Montana: The Movie","English"
"5970100","The Day the Earth Stood Still","English"
"6010100","City of Angels","English"
"6020100","The English Patient","English"
"6040100","Artificial Intelligence: AI","English"
"6060100","We Were Soldiers","English"
"6080100","Man on Fire","English"
"6100100","Gangs of New York","English"
"6120100","La marche de l'empereur","English"
"6120100","La marche de l'empereur","French"
"6140100","U-571","English"
"6140100","U-571","German"
"6150100","The Terminal","English"
"6150100","The Terminal","French"
"6150100","The Terminal","Russian"
"6150100","The Terminal","Italian"
"6150100","The Terminal","Bulgarian"
"6220100","Training Day","English"
"6250100","Conspiracy Theory","English"
"6260100","Hellboy II: The Golden Army","English"
"6270100","Constantine","English"
"6280100","The Ring Two","English"
"6300100","The Haunted Mansion","English"
"6310100","You, Me and Dupree","English"
"6320100","Barbershop","English"
"6330100","The Family Man","English"
"6350100","The Rookie","English"
"6360100","Braveheart","English"
"6380100","The Horse Whisperer","English"
"6390100","Garfield: The Movie","English"
"6400100","Ray","English"
"6410100","Coraline","English"
"6420100","Old School","English"
"6440100","The Exorcism of Emily Rose","English"
"6440100","The Exorcism of Emily Rose","Aramaic"
"6450100","Eragon","English"
"6500100","Four Brothers","English"
"6530100","No Country for Old Men","English"
"6540100","Sin City","English"
"6560100","Christmas with the Kranks","English"
"6580100","Monster House","English"
"6590100","Deep Blue Sea","English"
"6600100","Beetlejuice","English"
"6610100","Spirit: Stallion of the Cimarron","English"
"6630100","Hotel for Dogs","English"
"6640100","Ben-Hur","English"
"6650100","Barnyard: The Original Party Animals","English"
"6660100","Jackass: Number Two","English"
"6670100","The Interpreter","English"
"6690100","Vantage Point","English"
"6730100","Fred Claus","English"
"6740100","My Fair Lady","English"
"6760100","R.V.","English"
"6810100","The Bridges of Madison County","English"
"6820100","Sideways","English"
"6830100","Bridget Jones's Diary","English"
"6840100","I Love You, Man","English"
"6850100","Galaxy Quest","English"
"6860100","National Lampoon's Christmas Vacation","English"
"6870100","Chocolat","English"
"6880100","Scary Movie 2","English"
"6890100","The Spiderwick Chronicles","English"
"6910100","The Score","English"
"6920100","John Q.","English"
"6940100","Groundhog Day","English"
"6950100","Shallow Hal","English"
"6980100","V for Vendetta","English"
"7010100","Shaft","English"
"7020100","Moonraker","English"
"7030100","World Trade Center","English"
"7040100","Rocky Balboa","English"
"7050100","Fool's Gold","English"
"7060100","Star Trek: Insurrection","English"
"7080100","Big Momma's House 2","English"
"7090100","Blade","English"
"7100100","Ferris Bueller's Day Off","English"
"7110100","The Golden Compass","English"
"7120100","Kill Bill: Volume 1","English"
"7120100","Kill Bill: Volume 1","Japanese"
"7120100","Kill Bill: Volume 1","French"
"7150100","Seven Pounds","English"
"7170100","Swordfish","English"
"7190100","The Kid","English"
"7210100","The Divine Secrets of the Ya-Ya Sisterhood","English"
"7220100","The Thomas Crown Affair","English"
"7230100","White Chicks","English"
"7240100","Lost In Space","English"
"7250100","Guess Who","English"
"7260100","Cool Runnings","English"
"7270100","Sahara","English"
"7270100","Sahara","French"
"7270100","Sahara","Arabic"
"7290100","Vertical Limit","English"
"7300100","Purple Rain","English"
"7310100","Bring it On","English"
"7340100","Obsessed","English"
"7350100","Blue Streak","English"
"7360100","Octopussy","English"
"7380100","A Perfect Murder","English"
"7400100","Heat","English"
"7420100","Role Models","English"
"7430100","Hidalgo","English"
"7430100","Hidalgo","Arabic"
"7440100","Coach Carter","English"
"7450100","Insomnia","English"
"7470100","Race to Witch Mountain","English"
"7480100","Dante’s Peak","English"
"7520100","End of Days","English"
"7530100","The Mexican","English"
"7540100","Changing Lanes","English"
"7560100","Kangaroo Jack","English"
"7570100","The Forgotten","English"
"7580100","Charlie Wilson’s War","English"
"7580100","Charlie Wilson’s War","Russian"
"7580100","Charlie Wilson’s War","Urdu"
"7580100","Charlie Wilson’s War","Hebrew"
"7580100","Charlie Wilson’s War","Arabic"
"7590100","The Godfather: Part III","English"
"7590100","The Godfather: Part III","Italian"
"7590100","The Godfather: Part III","German"
"7590100","The Godfather: Part III","Latin"
"7610100","The Bone Collector","English"
"7620100","The League of Extraordinary Gentlemen","English"
"7630100","Bowfinger","English"
"7640100","Big Fish","English"
"7640100","Big Fish","Cantonese"
"7650100","The Parent Trap","English"
"7660100","Kill Bill: Volume 2","English"
"7660100","Kill Bill: Volume 2","Cantonese"
"7660100","Kill Bill: Volume 2","Mandarin"
"7660100","Kill Bill: Volume 2","Spanish"
"7680100","Herbie: Fully Loaded","English"
"7690100","The Manchurian Candidate","English"
"7700100","Ever After: A Cinderella Story","English"
"7720100","Lara Croft: Tomb Raider: The Cradle of Life","English"
"7740100","Anaconda","English"
"7750100","Deuce Bigalow: Male Gigolo","English"
"7770100","The Taking of Pelham 123","English"
"7780100","Step Up","English"
"7790100","Hannah Montana and Miley Cyrus: Best of Both Worlds Concert Tour","English"
"7800100","The Amityville Horror","English"
"7820100","Barbershop 2: Back in Business","English"
"7840100","About Schmidt","English"
"7850100","Friday the 13th","English"
"7880100","Stuart Little 2","English"
"7910100","Flushed Away","English"
"7920100","L.A. Confidential","English"
"7930100","The Happening","English"
"7950100","Miracle","English"
"7960100","Jackass: The Movie","English"
"7970100","Down to Earth","English"
"7980100","17 Again","English"
"8000100","Déjà Vu","English"
"8010100","Sky High","English"
"8030100","Dirty Dancing","English"
"8060100","Mona Lisa Smile","English"
"8060100","Mona Lisa Smile","Italian"
"8100100","Babe","English"
"8110100","Thunderball","English"
"8120100","The Fifth Element","English"
"8150100","Miami Vice","English"
"8160100","She's All That","English"
"8180100","Bewitched","English"
"8190100","Saw IV","English"
"8200100","The Holiday","English"
"8230100","The Final Destination","English"
"8240100","Forgetting Sarah Marshall","English"
"8260100","Beavis and Butt-Head Do America","English"
"8280100","Jarhead","English"
"8290100","The Fast and the Furious: Tokyo Drift","English"
"8290100","The Fast and the Furious: Tokyo Drift","Japanese"
"8330100","Spy Game","English"
"8360100","Mouse Hunt","English"
"8370100","Cinderella Man","English"
"8390100","The Goonies","English"
"8410100","Stomp the Yard","English"
"8420100","Rules of Engagement","English"
"8440100","The Cell","English"
"8450100","Friday Night Lights","English"
"8460100","The Time Traveler’s Wife","English"
"8470100","Misery","English"
"8480100","The Shaggy Dog","English"
"8490100","Devil’s Advocate","English"
"8500100","Mission to Mars","English"
"8520100","Coyote Ugly","English"
"8540100","Three Kings","English"
"8550100","Jingle All the Way","English"
"8560100","Kiss the Girls","English"
"8580100","Baby Mama","English"
"8590100","Shanghai Knights","English"
"8610100","Burn After Reading","English"
"8630100","Hope Floats","English"
"8640100","The Family Stone","English"
"8650100","Bad Santa","English"
"8660100","Brüno","English"
"8690100","Snow Day","English"
"8720100","The Good Shepherd","English"
"8740100","The Benchwarmers","English"
"8750100","Predator","English"
"8760100","Hellboy","English"
"8770100","Gothika","English"
"8800100","The Stepford Wives","English"
"8810100","Love Actually","English"
"8810100","Love Actually","Portuguese"
"8810100","Love Actually","French"
"8840100","Dawn of the Dead","English"
"8860100","Surf's Up","English"
"8870100","Behind Enemy Lines","English"
"8870100","Behind Enemy Lines","Bosnian"
"8880100","Bride Wars","English"
"8900100","Curious George","English"
"8950100","Funny Girl","English"
"8960100","Death Becomes Her","English"
"8970100","Anastasia","English"
"8980100","Open Range","English"
"8990100","Halloween","English"
"9000100","Bicentennial Man","English"
"9010100","Ali","English"
"9020100","Without a Paddle","English"
"9040100","Step Up 2 the Streets","English"
"9060100","The Butterfly Effect","English"
"9070100","Red Eye","English"
"9080100","Shall We Dance?","English"
"9090100","U.S. Marshals","English"
"9100100","Invincible","English"
"9110100","The Chronicles of Riddick","English"
"9120100","La vita è bella","Italian"
"9120100","La vita è bella","German"
"9120100","La vita è bella","English"
"9120100","La vita è bella","Spanish"
"9130100","The Cider House Rules","English"
"9170100","Moulin Rouge","English"
"9180100","Blood Diamond","English"
"9220100","Willow","English"
"9230100","The Whole Nine Yards","English"
"9240100","The Blues Brothers","English"
"9310100","Annie","English"
"9330100","Memoirs of a Geisha","English"
"9340100","Beethoven","English"
"9350100","The Man in the Iron Mask","English"
"9360100","Shanghai Noon","English"
"9370100","Saw V","English"
"9380100","A Civil Action","English"
"9410100","The Time Machine","English"
"9430100","Rat Race","English"
"9440100","Clueless","English"
"9460100","The Queen","English"
"9470100","Drumline","English"
"9480100","Once Upon a Time in Mexico","English"
"9480100","Once Upon a Time in Mexico","Spanish"
"9490100","Boyz n the Hood","English"
"9500100","Just Married","English"
"9510100","White Noise","English"
"9520100","A Knight’s Tale","English"
"9530100","The Big Chill","English"
"9550100","Wallace & Gromit: The Curse of the Were-Rabbit","English"
"9580100","Be Cool","English"
"9580100","Be Cool","Russian"
"9590100","The Animal","English"
"9610100","Eyes Wide Shut","English"
"9640100","Never Say Never Again","English"
"9650100","What Dreams May Come","English"
"9660100","Never Been Kissed","English"
"9680100","The Haunting in Connecticut","English"
"9690100","Ghosts of Girlfriends Past","English"
"9700100","Why Did I Get Married?","English"
"9720100","Small Soldiers","English"
"9730100","Halloween: H2O","English"
"9740100","The Guardian","English"
"9750100","Don’t Say a Word","English"
"9750100","Don’t Say a Word","Italian"
"9760100","Spawn","English"
"9770100","The Jackal","English"
"9780100","Alien 3","English"
"9790100","For Your Eyes Only","English"
"9800100","Starship Troopers","English"
"9820100","The Omen","English"
"9830100","Crash","English"
"9840100","The Abyss","English"
"9850100","The Count of Monte Cristo","English"
"9870100","TMNT","English"
"9880100","Final Destination 3","English"
"9890100","Dolphins","English"
"9910100","Edward Scissorhands","English"
"9920100","Austin Powers: International Man of Mystery","English"
"9940100","Paycheck","English"
"9950100","T-Rex: Back to the Cretaceous","English"
"9970100","P.S. I Love You","English"
"10060100","Yours, Mine and Ours","English"
"10070100","Corpse Bride","English"
"10080100","Final Destination","English"
"10090100","Sleepers","English"
"10100100","Papillon","English"
"10120100","The Prestige","English"
"10140100","Blow","English"
"10150100","Forces of Nature","English"
"10170100","Sweeney Todd: The Demon Barber of Fleet Street","English"
"10180100","Varsity Blues","English"
"10190100","Message in a Bottle","English"
"10210100","Kicking and Screaming","English"
"10250100","Unfaithful","English"
"10260100","Four Weddings and a Funeral","English"
"10260100","Four Weddings and a Funeral","Sign Language"
"10290100","The Strangers","English"
"10300100","Blade: Trinity","English"
"10310100","The Royal Tenenbaums","English"
"10320100","Radio","English"
"10330100","The Lake House","English"
"10360100","Stand by Me","English"
"10390100","Identity","English"
